Title,Price_clean,Shipping_clean,Quantity_clean,Country
"HP ELITEBOOK 840 G6 14"" Intel Core i5-8365U 1.60GHz 16GB RAM 256GB NVMe",2116843.96,929990.04,200,United States
Dell Latitude Laptop Light Gaming PC Core i7 16GB RAM 256GB SSD Windows 10 Pro,4969411.16,1117117.12,1810,United States
"Dell Latitude 5420 Laptop 14"" Windows 11 Intel Core i5 4.4GHz 8GB RAM 128GB SSD",3486673.96,974488.76,1596,United States
"HP ELITEBOOK 840 G6 14"" Intel Core i5-8365U 1.60GHz 16GB RAM 256GB NVMe",2116843.96,929990.04,171,United States
New ListingDell Latitude 5421 - i7-11850H @ 2.50GHz - 16GB Ram - 256GB M.2 - Win 11 Pro,3652713.96,1468623.8,0,United States
"Dynabook PORTEGE X30W-J Intel i5 1135G7 2.40GHz 16GB RAM 256GB SSD 13.3"" Win 11",4221447.45,518423.37,123,Australia
"~CLEARANCE~ 15.6"" Lenovo ThinkPad Laptop: Intel i5! 16GB RAM~1TB Storage! Webcam",3153929.8,1151819.48,0,United States
"Dell Latitude 5490 Intel i5 8250U 1.60GHz 8GB RAM 512GB SSD 14"" Win 11 - Open Bo",3110540.23,518423.37,56,Australia
"15.6"" TouchScreen Dell Precision Laptop: Intel i7! 16GB RAM! 512GB SSD! Nvidia!",3286761.8,1335127.64,0,United States
"Dell Latitude 7320 2-in-1 13.3"" i7 3.0GHz/16GB/512GB SSD - P133G001 w/Warranty",3237613.96,1060829.56,108,United States
"14"" Dell Latitude Laptop PC: Intel i5! 16GB RAM! 256GB SSD! Windows 10 Pro!",2738829.8,1044723.68,0,United States
"Lenovo ThinkPad L15 15.6"" FHD Laptop Core i5 10210U 16GB 256GB SSD Windows 11",3320633.96,1157132.76,92,United States
"Lenovo 20U9001NUS 14"" Core i5-10210U 1.6GHz 8GB RAM 256GB SSD NO OS Good",1029448.0,1058505.0,0,United States
"HP Laptop Computer ProBook 14"" Core i5 16GB RAM 256GB SSD Windows 10",2900054.64,1049870.92,1241,United States
Lenovo Yoga 6th Gen ThinkPad 11e 2-in-1 Laptop Windows 11 Pro. 8GB RAM 256GB SSD,2092104.0,879679.92,1244,United States
"~Clearance~ 15.6"" DELL Latitude Laptop: Intel i5! 8GB RAM~256GB SSD! Windows 10",2822513.96,1047380.32,0,United States
"15.6"" FHD Lenovo ThinkPad Laptop: Intel i5QC! 16GB RAM~512GB SSD! Windows 11!",4067149.8,1087894.08,0,United States
New ListingRazer RZ09-0220 Gaming Laptop i7 / 256 GB SSD  / 16GB MEM - REPAIRS / READ DESC,4981200.0,1722166.88,0,United States
"FHD 15.6""  Lenovo Gaming Laptop: Intel i7! 16GB RAM~512GB SSD! Nvidia Quadro!",3984129.8,1357709.08,0,United States
"14"" Lenovo ThinkPad Laptop PC: Intel i7 Quad Core! 16GB RAM! 512GB SSD! FHD RES!",4532725.96,1103003.72,0,United States
DELL XPS 15 9570 4K TOUCHSCREEN i9-8950HK 32GB RAM 1TB NVIDIA GeForce GTX 1050,9115596.0,1524579.28,0,United States
"Lenovo 20T3S20B00 13"" Core i7-10510U 1.8GHz 16GB RAM NO HDD NO OS Good",630952.0,1045553.88,0,United States
"Dell Latitude 7410 Business Laptop 14"" Core i7 4.9GHz 16GB RAM 256GB SSD Win 11",4803703.24,1111803.84,52,United States
"Dynabook PORTEGE X30W-J Intel i5 1135G7 2.40GHz 16GB RAM 256GB SSD 13.3"" Win 11 ",3904045.39,518423.37,0,Australia
"Lenovo IdeaPad 5 2-in-1 14"" AMD Ryzen 7-8845HS 3.8GHz 16GB 1TB SSD",6475560.0,1363520.48,0,United States
